Sample Name,Substrate,Gas,Temperature,Type,Index,Average,Ra,RMS,Skew,Kurtosis
W6821-1B,XG,Sauerstoff,600,Topography,4,6.398076076611982e-09,2.7898209291437717e-09,4.218647604027382e-09,2.6644003627492086,9.469688190962874
W6822-1B,XG,Sauerstoff,600,Topography,1,1.328039805934673e-08,4.060214909995996e-09,4.9524568193970895e-09,0.2844587473872106,-0.3535949176926856
W6822-1B,XG,Sauerstoff,600,Topography,2,1.3518483711725865e-08,4.083608920062337e-09,4.979587772837884e-09,0.28383404782755184,-0.3564343688901226
W6822-1B,XG,Sauerstoff,600,Topography,3,1.3905942159068366e-08,4.4461082376652774e-09,5.412180353832999e-09,0.3026833403005353,-0.29445381765104006
W6822-1B,XG,Sauerstoff,600,Topography,4,1.3730767937512483e-08,4.450202080825195e-09,5.412063212563419e-09,0.29578316741569854,-0.3059826989404315
W6823-1B,XG,Sauerstoff,600,Topography,1,1.721999336442154e-08,2.217476537745101e-09,2.904946549636393e-09,-0.3127955541656269,1.1648095037271355
W6823-1B,XG,Sauerstoff,600,Topography,2,1.858930610844057e-08,2.2091388052656222e-09,2.893585517107849e-09,-0.3019739962983563,1.1789330127286304
W6823-1B,XG,Sauerstoff,600,Topography,3,1.779224599585062e-08,2.1321052108174674e-09,2.751005123027109e-09,-0.1511281185641271,0.7776835516189538
W6823-1B,XG,Sauerstoff,600,Topography,4,1.5354670536781344e-08,2.122513860721659e-09,2.7389661675271686e-09,-0.10630349741674733,0.8565175817563802
W6824-1B,XG,Sauerstoff,600,Topography,1,1.8950385251656233e-08,5.228135542387589e-09,6.411420866812254e-09,-0.1317754175704769,-0.4652618842398928
W6824-1B,XG,Sauerstoff,600,Topography,2,1.818533235430248e-08,5.2445605274734786e-09,6.4304362582616306e-09,-0.1419940014341563,-0.4552548426904619
W6824-1B,XG,Sauerstoff,600,Topography,3,2.2408947466595976e-08,5.8809441144257174e-09,7.305298561693193e-09,-0.12449591081696569,-0.2014370616435568
W6824-1B,XG,Sauerstoff,600,Topography,4,2.3793307079648154e-08,5.89222542680973e-09,7.329575456716039e-09,-0.14089209838842345,-0.1881811769556485
W6821-1B,XG,Sauerstoff,700,Topography,1,1.5668040068141413e-08,2.0930321453175514e-09,3.374453478574769e-09,3.271336271181584,22.728424597750575
W6821-1B,XG,Sauerstoff,700,Topography,2,1.7063856792841586e-08,2.0940618407358736e-09,3.349778926044322e-09,3.059546992100717,19.101160962514736
W6821-1B,XG,Sauerstoff,700,Topography,3,2.0518022232425638e-08,2.3925369827583937e-09,3.917747786513656e-09,3.2232374858027795,22.019736190629594
W6821-1B,XG,Sauerstoff,700,Topography,4,2.3359964909492267e-08,2.4089114030788483e-09,3.934144559793216e-09,3.1975153714212294,21.67085858625019
W6822-1B,XG,Sauerstoff,700,Topography,1,2.0483975910735968e-08,7.99373605400905e-09,9.742929404562601e-09,0.9026638055889372,0.2684108342930491
W6822-1B,XG,Sauerstoff,700,Topography,2,1.9894602616613254e-08,7.986881420153047e-09,9.735009739492047e-09,0.9083843266862796,0.2748603501778768
W6822-1B,XG,Sauerstoff,700,Topography,3,1.9489770560329415e-08,7.819043579220804e-09,9.862248231756763e-09,1.2763468611139528,1.5971019070226324
W6822-1B,XG,Sauerstoff,700,Topography,4,2.030234247895818e-08,7.820101298541878e-09,9.867092149116411e-09,1.2780334383296865,1.5931004284606418
W6823-1B,XG,Sauerstoff,700,Topography,1,2.9377994634140614e-08,3.1974044000024057e-09,4.34180002129749e-09,-0.8509595945525228,2.5582655240292542
W6823-1B,XG,Sauerstoff,700,Topography,2,3.1299289997381485e-08,3.180863316882345e-09,4.32614970505698e-09,-0.8548593251463958,2.7136077086169452
W6823-1B,XG,Sauerstoff,700,Topography,3,2.620109178676955e-08,3.2210346752536895e-09,4.3447406553916636e-09,-0.38014622300188144,2.1417067587669507
W6823-1B,XG,Sauerstoff,700,Topography,4,3.077176367071112e-08,3.2101948659214582e-09,4.337294616082416e-09,-0.3633838391065488,2.218163930100122
W6824-1B,XG,Sauerstoff,700,Topography,1,2.16541029768239e-08,7.598512020445803e-09,9.324032716133481e-09,0.04309556645921627,-0.520069188125726
W6824-1B,XG,Sauerstoff,700,Topography,2,2.466379817951034e-08,7.61119047181603e-09,9.339191894904268e-09,0.039095639274584836,-0.5246833857730469
W6824-1B,XG,Sauerstoff,700,Topography,3,2.0871891476810296e-08,7.19619892179447e-09,8.683737851509795e-09,0.16350482032705016,-0.6006828063532312
W6824-1B,XG,Sauerstoff,700,Topography,4,2.1402679136353786e-08,7.1922742068257725e-09,8.683124366322978e-09,0.16389888854917334,-0.5968896524060834
W6821-1B,XG,Sauerstoff,750,Topography,1,4.36515719183306e-08,2.8589917840962794e-09,4.200971229600436e-09,-1.2311441189086194,9.781074868548691
W6821-1B,XG,Sauerstoff,750,Topography,2,3.8167195870640615e-08,2.835025476904551e-09,4.071587733314337e-09,-0.7690235356574802,6.165197147482791
W6821-1B,XG,Sauerstoff,750,Topography,3,4.063453230928907e-08,2.488023098186606e-09,3.584699466250022e-09,-1.0545210517055548,7.32862094971617
W6821-1B,XG,Sauerstoff,750,Topography,4,4.1439963280991035e-08,2.5004901088911232e-09,3.6049283481628726e-09,-1.035759233208484,7.439651731048473
W6822-1B,XG,Sauerstoff,750,Topography,1,2.6490260159553523e-08,9.246487620534475e-09,1.1823442007105642e-08,1.3983471007025223,1.7465179796929418
W6822-1B,XG,Sauerstoff,750,Topography,2,2.5548929746214695e-08,9.217542363179102e-09,1.1791049603685037e-08,1.4006853507795418,1.7695816248490503
W6822-1B,XG,Sauerstoff,750,Topography,3,2.760123177918619e-08,9.357193689265293e-09,1.1632943923094993e-08,1.1598675722622473,0.8408464165960989
W6822-1B,XG,Sauerstoff,750,Topography,4,2.7220176865567125e-08,9.332052724824508e-09,1.161684249491087e-08,1.1655558271567676,0.8671428254416931
W6823-1B,XG,Sauerstoff,750,Topography,1,5.505006550207265e-08,4.9401614395710666e-09,6.810810230161597e-09,-1.0024597451288184,4.402287123989722
W6823-1B,XG,Sauerstoff,750,Topography,2,6.372566901979705e-08,4.891893575122167e-09,6.756925618500221e-09,-1.0296535940860818,5.22401892023915
W6823-1B,XG,Sauerstoff,750,Topography,3,4.31560051838516e-08,4.305291554025294e-09,6.333409293609632e-09,2.1537957772002905,32.629241600675975
W6823-1B,XG,Sauerstoff,750,Topography,4,4.818195937236852e-08,4.3006593556406245e-09,6.217070897381783e-09,1.5159201191796425,17.814062324131285
W6824-1B,XG,Sauerstoff,750,Topography,1,3.079280308541337e-08,9.239493025840056e-09,1.1613534562831372e-08,0.6237856883641503,0.8453164606193244
W6824-1B,XG,Sauerstoff,750,Topography,2,3.123760619159546e-08,9.251943230916796e-09,1.1625917020062246e-08,0.6228940462574512,0.8448065820050519
W6824-1B,XG,Sauerstoff,750,Topography,3,2.939577013681235e-08,8.595109100480261e-09,1.0763346211543492e-08,0.4989170538545464,0.6245804340892898
W6824-1B,XG,Sauerstoff,750,Topography,4,2.8541498698788236e-08,8.613554226264378e-09,1.0803710332138522e-08,0.5145751288609084,0.7532134745172234
