t,R
2215.02438999999,5187.81659
2217.32807399999,5187.8863
2219.631875,5187.92771
2221.93652299999,5188.04819
2224.238838,5188.14771
2226.544139,5188.19541
2228.847945,5188.10763
2231.152399,5188.1054
2233.456061,5188.13928
2235.759749,5188.14188
2238.064382,5188.10211
2240.372899,5188.05479
2242.650261,5188.10606
2244.953171,5187.97772
2247.247996,5188.00047
2249.541327,5187.95795
2251.813436,5187.95121
2254.128336,5187.98289
2256.437223,5187.94849
2258.72532,5187.93925
2261.02870699999,5187.94452
2263.32294199999,5187.90494
2265.60584999999,5188.04951
2267.89911799999,5188.12855
2270.192006,5188.07498
2272.495639,5188.04455
2274.789458,5188.00256
2277.10897499999,5188.00837
2279.38726899999,5187.91698
2281.701197,5187.78053
2283.99547,5187.77989
2286.299084,5187.78521
2288.60260399999,5187.79591
2290.906675,5187.87067
2293.20845699999,5187.7642
2295.503638,5187.63228
2297.797731,5187.66608
2300.09078399999,5187.83192
2302.39486799999,5187.92345
2304.703984,5188.02334
2306.981755,5188.054
2309.27979,5187.985
2311.57919,5187.96116
2313.877359,5187.96845
2316.176566,5187.83717
2318.469491,5187.62908
2320.762654,5187.57911
2323.066418,5187.58252
2325.386392,5187.57678
2327.69613999999,5187.5641
2330.000553,5187.58365
2332.29373199999,5187.54854
2334.58723,5187.56776
2336.890382,5187.61003
2339.205366,5187.52672
2341.514581,5187.71429
2343.803378,5187.76126
2346.10693099999,5187.73181
2348.408537,5187.67417
2350.715483,5187.64814
2353.018794,5187.59321
2355.32313299999,5187.61369
2357.62547099999,5187.67993
2359.941809,5187.63481
2362.23454,5187.56324
2364.538797,5187.6142
2368.836712,5187.63952
2371.141326,5187.63389
2373.43507099999,5187.49716
2375.735984,5187.49012
2378.04310699999,5187.5096
2380.325542,5187.51849
2382.618551,5187.45962
2384.912766,5187.42299
2387.194709,5187.41213
2389.48826899999,5187.38889
2391.771296,5187.39571
2394.074698,5187.34647
2396.383956,5187.22695
2398.67215,5187.23771
2400.976154,5187.17893
2403.248259,5187.18735
2405.54177299999,5187.26827
2407.82380599999,5187.2305
2410.117642,5187.30827
2412.405374,5187.32067
2414.704347,5187.45012
2417.001252,5187.54747
2419.301436,5187.48629
2421.594776,5187.55854
2423.87768499999,5187.52421
2426.16067699999,5187.62319
2428.46407399999,5187.5634
2430.757838,5187.50275
2433.05926,5187.48937
2435.36568099999,5187.442
2437.680189,5187.63298
2439.98479,5187.73558
2442.278116,5187.78732
2444.581445,5187.80336
2446.86475,5187.69114
2449.167801,5187.64325
2451.461914,5187.65471
2453.765928,5187.53623
2456.069143,5187.57716
2458.37361,5187.55981
2460.677499,5187.60801
2462.992869,5187.63724
2465.317727,5187.71465
2467.621717,5187.65203
2469.904517,5187.52874
2472.197827,5187.47429
2474.501242,5187.56049
2476.82054499999,5187.58232
2479.109999,5187.5557
2481.414021,5187.66491
2483.717737,5187.60404
2486.02203399999,5187.44658
2488.336315,5187.21697
2490.62970299999,5187.27095
2492.931727,5187.36291
2495.216505,5187.38487
2497.50990899999,5187.48624
2499.792511,5187.48462
2502.085261,5187.44178
2504.389749,5187.41458
2506.694005,5187.48585
2509.01363,5187.5167
2511.3015,5187.52887
2513.605116,5187.4735
2515.909924,5187.51042
2518.224539,5187.57551
2520.517624,5187.5637
2522.821524,5187.3874
2525.13020699999,5187.22377
2527.42975099999,5187.11207
2529.744693,5187.16063
2532.047797,5187.14614
2534.35214399999,5187.39913
2536.645538,5187.48185
2538.949455,5187.3311
2541.262172,5187.35332
2543.536407,5187.46077
2545.85100399999,5187.60612
2548.123279,5187.63535
2550.405782,5187.69121
2552.69862,5187.68735
2554.992355,5187.64895
2557.306087,5187.73621
2559.61111,5187.63487
2561.90369899999,5187.5414
2564.19763699999,5187.3629
2566.480853,5187.19261
2568.784532,5187.25634
2571.066867,5187.23734
2573.36029499999,5187.11492
2575.643073,5187.10335
2577.95066,5187.22811
2580.250911,5187.24476
2582.544739,5187.23636
2584.847859,5187.10803
2587.151112,5187.16253
2589.435263,5187.34693
2591.739179,5187.48551
2594.05329,5187.44023
2596.33686799999,5187.47929
2598.651053,5187.36472
2600.92788299999,5187.3625
2603.248315,5187.33295
2605.568002,5187.36858
2607.856752,5187.40903
2610.160062,5187.34596
2612.464421,5187.23806
2616.77587899999,5187.29767
2619.066877,5187.3055
2621.360871,5187.26277
2623.64314799999,5187.27206
2625.93644899999,5187.32404
2628.240044,5187.39109
2630.544678,5187.38361
2632.848022,5187.41326
2635.131322,5187.35331
2637.445614,5187.30493
2639.727973,5187.29135
2642.032638,5187.39749
2644.335896,5187.48156
2646.64048599999,5187.35268
2648.95840499999,5187.27162
2651.264072,5187.27661
2653.546775,5187.27547
2655.840158,5187.16648
2658.144794,5187.20039
2660.469845,5187.14746
2662.76220299999,5187.04979
2665.07776199999,5187.02799
2667.3602,5187.03115
2669.664689,5187.15392
2671.96797899999,5187.2388
2674.272841,5187.1731
2676.57664399999,5187.30308
2678.87948199999,5187.2975
2681.184801,5187.33156
2683.507579,5187.21066
2685.792494,5187.13072
2688.107032,5187.21196
2690.400914,5187.22154
2692.70432799999,5187.13083
2694.986742,5187.20426
2697.269435,5187.20761
2699.58410399999,5187.1989
2701.877804,5187.34758
2704.185558,5187.40795
2706.47535699999,5187.58683
2708.768106,5187.48614
2711.051392,5187.46059
2713.365664,5187.4528
2715.658601,5187.40393
2717.962859,5187.38292
2720.26559299999,5187.3575
2722.560352,5187.39071
2724.843542,5187.38002
2727.125557,5187.44106
2729.41963999999,5187.42816
2731.733594,5187.3504
2734.006212,5187.30828
2736.314792,5187.1745
2738.603233,5187.24216
2740.90723,5187.26258
2743.21079899999,5187.40565
2745.493821,5187.45581
2747.787283,5187.33997
2750.09159299999,5187.33618
2752.399948,5187.33338
2754.699228,5187.37763
2757.013739,5187.31979
2759.307134,5187.3254
2761.61158899999,5187.37565
2763.914823,5187.36947
2766.21935399999,5187.27808
2768.533312,5187.26129
2770.816643,5187.34024
2773.099048,5187.36945
2775.41343099999,5187.45512
2777.686156,5187.49031
2779.989532,5187.51277
2782.283582,5187.39118
2784.592059,5187.23503
2786.891128,5187.32109
2789.19559599999,5187.49478
2791.49887199999,5187.52864
2793.78194,5187.39517
2796.079793,5187.45223
2798.379136,5187.43881
2800.70499299999,5187.48485
2802.987235,5187.4534
2805.291704,5187.44085
2807.59554499999,5187.40737
2809.878028,5187.34733
2812.18675799999,5187.26271
2814.486047,5187.31708
2816.789522,5187.2396
2819.083433,5187.14844
2821.370337,5187.27636
2823.669363,5187.42948
2825.97914799999,5187.47884
2828.277536,5187.32631
2830.571403,5187.29936
2832.879213,5187.30816
2835.179667,5187.14464
2837.48322899999,5187.02865
2839.787426,5187.17515
2842.091439,5187.18745
2844.39936,5187.21678
2846.69938699999,5187.06148
2848.999429,5187.04669
2851.30716999999,5187.0171
2853.611326,5187.05195
2855.904502,5187.12066
2858.218863,5187.1185
2860.50617699999,5187.06641
2862.806062,5187.13069
2865.088771,5187.12443
2867.36013299999,5187.12986
2869.664662,5187.14491
2871.968485,5187.10425
2874.273114,5187.01141
2876.56538299999,5187.01444
2878.84860699999,5187.12647
2881.14261,5187.17257
2883.456375,5187.21991
2885.72897499999,5187.02245
2888.021844,5186.93396
2890.30475799999,5186.88975
2892.612005,5186.8763
2894.902105,5186.98763
2897.184803,5187.07197
2899.47821799999,5187.00424
2901.760771,5186.98338
2904.053351,5187.0913
2906.358389,5187.06195
2908.66150099999,5187.16309
2910.96611,5187.25849
2913.27489399999,5187.18536
2915.573476,5187.06687
2917.888168,5187.01079
2920.181741,5186.97662
2922.48616,5186.87568
2924.768421,5186.84895
2927.062399,5186.93326
2929.37612599999,5187.01066
2931.669815,5187.142
2933.973923,5187.31223
2936.278151,5187.43923
2938.56075399999,5187.44543
2940.864277,5187.39232
2943.158412,5187.36101
2945.470272,5187.26086
2947.76583199999,5187.3295
2950.069977,5187.41595
2952.373849,5187.44684
2954.678503,5187.44127
2956.992267,5187.2082
2959.285998,5187.22504
2961.60119,5187.26399
2963.904314,5187.26242
2966.20856699999,5187.25868
2968.50190199999,5187.27798
2970.805939,5187.35246
2973.11916299999,5187.37715
2975.424506,5187.35833
2977.717599,5187.39343
2980.000989,5187.44942
2984.299713,5187.37191
2986.61389099999,5187.24782
2988.917996,5187.11556
2991.231125,5187.1468
2993.526198,5187.13498
2995.81347899999,5187.01242
2998.123277,5187.14785
3000.416516,5187.22959
3002.709679,5187.2465
3005.014184,5187.06244
3007.29634599999,5186.97401
3009.579706,5186.9499
3011.876822,5187.06408
3014.176738,5187.14421
3016.48076199999,5187.24828
3018.763373,5187.19481
3021.067693,5187.22836
