t,R1,R2
60610.61196,NaN,NaN
60634.141981,NaN,NaN
60683.379839,NaN,NaN
60711.289892,NaN,NaN
60732.6394,NaN,NaN
60753.221012,NaN,NaN
60812.303224,NaN,NaN
60840.02833,3291.12949,1596.72954
60858.312838,3290.81615,1596.78288
60880.003052,NaN,NaN
60937.701047,NaN,NaN
61120.727116,NaN,NaN
61166.965615,NaN,NaN
61203.296208,NaN,NaN
61256.567669,NaN,NaN
61302.712053,NaN,NaN
61406.771516,NaN,NaN
61451.496113,NaN,NaN
61478.812839,3277.39848,1596.96673
61522.589611,NaN,NaN
61561.886889,NaN,NaN
61647.58145,3273.84329,1597.08644
61679.748847,NaN,NaN
61718.534279,NaN,NaN
61754.164601,NaN,NaN
61785.073693,NaN,NaN
61826.784828,NaN,NaN
61876.758474,NaN,NaN
61908.624745,NaN,NaN
61950.043337,NaN,NaN
61967.799027,NaN,NaN
62011.838429,NaN,NaN
62034.866619,3265.64127,1597.97654
62068.763631,3264.97299,1598.06996
62093.012258,NaN,NaN
62123.434472,NaN,NaN
62283.094038,NaN,NaN
62324.593713,NaN,NaN
62359.44887,NaN,NaN
62398.864446,NaN,NaN
62445.178838,NaN,NaN
62507.055026,NaN,NaN
62552.937033,3254.7967,1598.81595
62572.748691,NaN,NaN
62596.40272,NaN,NaN
62641.293596,NaN,NaN
